Caption,Instagram,YouTube,Twitter
bye ,1,0,0
"Ok, a few more... sorry I just had so much fun that day ",1,0,0
"This was one of my favorite shoots I've ever done! Thank you -a seriously badass woman, for shooting my cover! And thank you to everyone who asked a question for the interview  ",1,0,0
Wrapped round my finger like a ring ,1,0,0
"Yesterday was so much fun!! has been such a huge figure in my life. I love her humor, her grace and her heart! Check out the interview where I'm gushing over her the whole time! ",1,0,0
Well.. ,1,0,0
It's officially out! I was a bit embarrassed asking so often for you to stream or buy my album. It felt inauthentic. Thank YOU so much for making something so personal to me be a moment I'll never forget. All I truly desire is for you all to enjoy the music and spread the love  ,1,0,0
I hope you guys are liking the album! I just want to thank you guys for supporting me and this body of work. It means the world to me.. you have no idea. Sorry if it's been a lot. Anyhow here's some pics from my Rare music video.  ,1,0,0
Did it again  rare ,1,0,0
R.A.R.E ,1,0,0
Had so much fun at the premiere this morning  oh and I play a giraffe. Comes out 1/17! ,1,0,0
So my rare video is out! So I'm posting a few pics from that day ,1,0,0
HERE IT IS!!! My album is officially out in the universe.. thank you for the souls that worked on this with me. Now it's yours. Hope you like it.  ,1,0,0
There must be a sweeter place. ,1,0,0
I gotta get you out my head now... I just cut you off. ,1,0,0
"You may not be the one, but you look like fun. ",1,0,0
"I think you're kinda crazy... and not the good kind, baby. ",1,0,0
People can go from people you know to people you don't. ,1,0,0
If the only other option's letting go - I'll stay vulnerable. ,1,0,0
Hi New Year. Let's make this one better than the rest. ,1,0,0
Feels so good to dance again ,1,0,0
"Merry Christmas and many, many blessings to you and your close loved ones!! 4,000 down 6,000 more to go RARE is coming out Jan 10th  ",1,0,0
I will share so many of these stories and voices. Voices that need to be heard. We are working on something so special that will hopefully change so many lives. This is all I can post for now. you do INCREDIBLE things and I'm honored to be apart of the family! Just the beginning.. my heart will be dedicated to people and serving. ,1,0,0
"I have so much to share about my trip to Kenya, London and Paris. I wanted to be in every single moment so I'll share so much more when I get home. This trip was about others... which makes it way more meaningful. Serving is the greatest gift. ",1,0,0
Feels good to be back. Thank you to my entire team and to my fans that stand by me. All of this is for you and because of you. excited for this chapter  ,1,0,0
AMAs day.. more to come.. ,1,0,0
"It was my absolute honor to present the Bill of Rights Award to the incredible Activist, artist, songwriter, carrier of hope and my friend.  ",1,0,0
Well.. Still here. ,1,0,0
Grateful for ze pasta  ,1,0,0
Puma fam. In my Cali Sport.  ,1,0,0
"My love, my heart and my soul  ",1,0,0
So incredibly honored to be part of Start the conversation and make sure your voice is heard. Join us at  ,1,0,0
Hope I'm officially the best big sissy ever now.. she was LIVING her best life!! Frozen 2 was amazing!!! Styled by: Glam: birthed by:  ,1,0,0
Appreciation post for the squad that's the loyalist since day 1  ,1,0,0
My first number 1!! This song is so dear to my heart. I've been working so hard to make this album as honest and fun as possible while remaining vulnerable enough to share where I am in life. I love you deeply and thank you so much for listening. I want to thank each and every person that was apart of this moment that I'll never forget! ,1,0,0
I miss when was a bear ,1,0,0
Family photos ,1,0,0
Honestly my mom really killed it on my costumes growing up... Happy halloween!!  ,1,0,0
"Georgia, Toronto, Texas met in NY for a quick night  ",1,0,0
Getting to celebrate this chapter with my friends means so much to me  ,1,0,0
Some of my favorite moments on set  ,1,0,0
I went to Interscope today to thank everyone for all they do for me! They surprised me with a few plaques from the last few years. BUT my favorite part of today was showing a few fans my music and the video. I'm SO grateful for the love and support I've had through out the years. Love you ,1,0,0
Made her more of a woman. ,1,0,0
You promised the world. ,1,0,0
I needed to lose you to love me. 10.23. Link in bio. ,1,0,0
I gave my all and they all know it. ,1,0,0
Rose colored glasses all distorted. ,1,0,0
We always go into it blindly. ,1,0,0
"Me, all the time ",1,0,0
Happy birthday to my sweet angel -beyond proud of the man you've become. 21!! ,1,0,0
"Such an honor to share this project with some of my family and friends last night and to introduce them to the amazing, courageous people who shared their stories in the documentary. Grateful to play a part in getting this out into the world.  ",1,0,0
"My dream come true. My friends surprised me on my birthday with a taping of shark tank and it finally happened!! Thank you so much for all being so kind, funny and genuine  ",1,0,0
My Boston photo diary  thank you for being so warm and welcoming to me while I was there!! I had the best time meeting so many of you ,1,0,0
So humbled to have been part of the incredible McLean Hospital's Annual Dinner and was honored to be able to share a bit of my story. Thank you Dr. Rauch for inviting me and spending time speaking with me about mental health. And thank you to all the amazing staff at McLean. And a huge thank you to David O Russell for connecting me with these amazing humans. These are the moments where I am so grateful for the platform God has given me.  ,1,0,0
Apparently my heart was very conflicted between Juan and Cole Sprouse when I was 11.. ,1,0,0
"After a whole summer of being roommates, Anna, Fox and Freddy have gone home and I'm missing them already. I get to live life with the best people. I'm pretty freaking lucky. ",1,0,0
"Wednesdays, a huge bright blue comfy and Winnie.  ",1,0,0
"All kinds of magic  thank you, for your heart, your insane humor and your words. We laughed, cried and danced.  ",1,0,0
"Siri play ""I wanna be your lover"" ",1,0,0
LQDCELL Shatter  by  ,1,0,0
Sometimes I can't express how truly grateful I am. Now.. Back to work. ,1,0,0
"Me, Italy -trying desperately to look like a Fellini film ",1,0,0
Well I'm 27 now. I wanted to thank each and every one of you for your words on my bday. Not just the quick notes. The thought that goes behind every word you write usually ends up with me crying grateful tears like I did last night. Praying for all of you!! I LOVE YOU ,1,0,0
Kids in cages! Sleeping on concrete floors with aluminum blankets! No access to simple dignities! How is this still happening??? It's absolutely inhumane to treat anyone like this let alone children. I can't even imagine what they are going through. We need to get this to finally stop! Don't stay silent on this human rights issue- please call your reps 202.224.3121 ,1,0,0
Living in my Cali Bolds for summer. ,1,0,0
When Olivia is a star and Paul wears your face on a shirt (btw if you haven't seen Olivia's movie Booksmart I don't understand you) ,1,0,0
All combo -biker jacket and butterfly parker bag ,1,0,0
"To see what is happening right now in Alabama, Georgia, Mississippi and several other states in our country is not only deeply upsetting but seems that it can't possibly be real in 2019. It's no one's business what a woman chooses to do with her body. End of story. If you want to help fight this, click on the link in my bio to find out how you can volunteer or make a donation. ",1,0,0
My first time in Cannes! I'm so honored to have been a part of this movie with Jim and the whole cast. By the way Bill Murray and I are getting married. ,1,0,0
Been working hard on a new collection with my fam. Launches today  ,1,0,0
hi Cannes...you're very pretty ,1,0,0
I owe my life to you momma ,1,0,0
studio diva ,1,0,0
