,Caption,Instagram,YouTube,Twitter,positive_words,negative_words,length,word_count,male_words,female_words,afinn
0,bye ,1,0,0,0,0,4,1,0,0,0.0
1,"Ok, a few more... sorry I just had so much fun that day ",1,0,0,1,1,56,13,0,0,3.0
2,"This was one of my favorite shoots I've ever done! Thank you -a seriously badass woman, for shooting my cover! And thank you to everyone who asked a question for the interview  ",1,0,0,3,0,177,32,0,0,3.0
3,Wrapped round my finger like a ring ,1,0,0,1,0,36,7,0,0,2.0
4,"Yesterday was so much fun!! has been such a huge figure in my life. I love her humor, her grace and her heart! Check out the interview where I'm gushing over her the whole time! ",1,0,0,2,0,178,35,0,0,11.0
5,Well.. ,1,0,0,0,0,7,1,0,0,0.0
6,It's officially out! I was a bit embarrassed asking so often for you to stream or buy my album. It felt inauthentic. Thank YOU so much for making something so personal to me be a moment I'll never forget. All I truly desire is for you all to enjoy the music and spread the love  ,1,0,0,3,0,279,55,0,0,5.0
7,I hope you guys are liking the album! I just want to thank you guys for supporting me and this body of work. It means the world to me.. you have no idea. Sorry if it's been a lot. Anyhow here's some pics from my Rare music video.  ,1,0,0,3,1,231,48,2,0,6.0
8,Did it again  rare ,1,0,0,0,0,19,4,0,0,0.0
9,R.A.R.E ,1,0,0,0,0,8,1,0,0,0.0
10,Had so much fun at the premiere this morning  oh and I play a giraffe. Comes out 1/17! ,1,0,0,1,0,87,18,0,0,4.0
11,So my rare video is out! So I'm posting a few pics from that day ,1,0,0,0,0,65,15,0,0,0.0
12,HERE IT IS!!! My album is officially out in the universe.. thank you for the souls that worked on this with me. Now it's yours. Hope you like it.  ,1,0,0,3,0,147,29,0,0,6.0
13,There must be a sweeter place. ,1,0,0,0,0,31,6,0,0,3.0
14,I gotta get you out my head now... I just cut you off. ,1,0,0,0,0,55,13,0,0,-1.0
15,"You may not be the one, but you look like fun. ",1,0,0,1,0,47,11,0,0,6.0
16,"I think you're kinda crazy... and not the good kind, baby. ",1,0,0,1,0,59,11,0,0,3.0
17,People can go from people you know to people you don't. ,1,0,0,0,0,56,11,0,0,0.0
18,If the only other option's letting go - I'll stay vulnerable. ,1,0,0,0,0,62,11,0,0,-2.0
19,Hi New Year. Let's make this one better than the rest. ,1,0,0,1,0,55,11,0,0,2.0
20,Feels so good to dance again ,1,0,0,1,0,29,6,0,0,3.0
21,"Merry Christmas and many, many blessings to you and your close loved ones!! 4,000 down 6,000 more to go RARE is coming out Jan 10th  ",1,0,0,2,0,133,25,0,0,9.0
22,I will share so many of these stories and voices. Voices that need to be heard. We are working on something so special that will hopefully change so many lives. This is all I can post for now. you do INCREDIBLE things and I'm honored to be apart of the family! Just the beginning.. my heart will be dedicated to people and serving. ,1,0,0,3,0,332,63,0,0,7.0
23,"I have so much to share about my trip to Kenya, London and Paris. I wanted to be in every single moment so I'll share so much more when I get home. This trip was about others... which makes it way more meaningful. Serving is the greatest gift. ",1,0,0,1,0,244,48,0,0,9.0
24,Feels good to be back. Thank you to my entire team and to my fans that stand by me. All of this is for you and because of you. excited for this chapter  ,1,0,0,4,0,153,33,0,0,8.0
25,AMAs day.. more to come.. ,1,0,0,0,0,26,5,0,0,0.0
26,"It was my absolute honor to present the Bill of Rights Award to the incredible Activist, artist, songwriter, carrier of hope and my friend.  ",1,0,0,3,0,141,24,0,0,8.0
27,Well.. Still here. ,1,0,0,0,0,19,3,0,0,0.0
28,Grateful for ze pasta  ,1,0,0,1,0,23,4,0,0,3.0
29,Puma fam. In my Cali Sport.  ,1,0,0,0,0,29,6,0,0,0.0
30,"My love, my heart and my soul  ",1,0,0,0,0,31,7,0,0,3.0
31,So incredibly honored to be part of Start the conversation and make sure your voice is heard. Join us at  ,1,0,0,2,0,106,20,0,0,3.0
32,Hope I'm officially the best big sissy ever now.. she was LIVING her best life!! Frozen 2 was amazing!!! Styled by: Glam: birthed by:  ,1,0,0,2,1,135,24,0,2,13.0
33,Appreciation post for the squad that's the loyalist since day 1  ,1,0,0,0,0,65,11,0,0,2.0
34,My first number 1!! This song is so dear to my heart. I've been working so hard to make this album as honest and fun as possible while remaining vulnerable enough to share where I am in life. I love you deeply and thank you so much for listening. I want to thank each and every person that was apart of this moment that I'll never forget! ,1,0,0,6,2,339,67,0,0,13.0
35,I miss when was a bear ,1,0,0,0,1,23,6,0,0,-2.0
36,Family photos ,1,0,0,0,0,14,2,0,0,0.0
37,Honestly my mom really killed it on my costumes growing up... Happy halloween!!  ,1,0,0,1,1,81,13,0,2,1.0
38,"Georgia, Toronto, Texas met in NY for a quick night  ",1,0,0,0,0,53,10,0,0,0.0
39,Getting to celebrate this chapter with my friends means so much to me  ,1,0,0,1,0,71,13,0,0,3.0
40,Some of my favorite moments on set  ,1,0,0,1,0,36,7,0,0,2.0
41,I went to Interscope today to thank everyone for all they do for me! They surprised me with a few plaques from the last few years. BUT my favorite part of today was showing a few fans my music and the video. I'm SO grateful for the love and support I've had through out the years. Love you ,1,0,0,7,0,290,58,0,0,15.0
42,Made her more of a woman. ,1,0,0,0,0,26,6,0,0,0.0
43,You promised the world. ,1,0,0,1,0,24,4,0,0,1.0
44,I needed to lose you to love me. 10.23. Link in bio. ,1,0,0,1,1,53,12,0,0,3.0
45,I gave my all and they all know it. ,1,0,0,0,0,36,9,0,0,0.0
46,Rose colored glasses all distorted. ,1,0,0,0,0,36,5,0,0,-1.0
47,We always go into it blindly. ,1,0,0,0,0,30,6,0,0,0.0
48,"Me, all the time ",1,0,0,0,0,17,4,0,0,0.0
49,Happy birthday to my sweet angel -beyond proud of the man you've become. 21!! ,1,0,0,4,0,78,14,2,0,7.0
50,"Such an honor to share this project with some of my family and friends last night and to introduce them to the amazing, courageous people who shared their stories in the documentary. Grateful to play a part in getting this out into the world.  ",1,0,0,3,0,244,44,0,0,13.0
51,"My dream come true. My friends surprised me on my birthday with a taping of shark tank and it finally happened!! Thank you so much for all being so kind, funny and genuine  ",1,0,0,2,3,173,33,0,0,11.0
52,My Boston photo diary  thank you for being so warm and welcoming to me while I was there!! I had the best time meeting so many of you ,1,0,0,3,0,134,28,0,0,6.0
53,So humbled to have been part of the incredible McLean Hospital's Annual Dinner and was honored to be able to share a bit of my story. Thank you Dr. Rauch for inviting me and spending time speaking with me about mental health. And thank you to all the amazing staff at McLean. And a huge thank you to David O Russell for connecting me with these amazing humans. These are the moments where I am so grateful for the platform God has given me.  ,1,0,0,8,0,442,84,0,0,23.0
54,Apparently my heart was very conflicted between Juan and Cole Sprouse when I was 11.. ,1,0,0,0,1,86,15,0,0,0.0
55,"After a whole summer of being roommates, Anna, Fox and Freddy have gone home and I'm missing them already. I get to live life with the best people. I'm pretty freaking lucky. ",1,0,0,2,1,175,32,0,0,5.0
56,"Wednesdays, a huge bright blue comfy and Winnie.  ",1,0,0,2,0,50,8,0,0,2.0
57,"All kinds of magic  thank you, for your heart, your insane humor and your words. We laughed, cried and danced.  ",1,0,0,3,1,112,20,0,0,1.0
58,"Siri play ""I wanna be your lover"" ",1,0,0,0,0,34,7,0,0,0.0
59,LQDCELL Shatter  by  ,1,0,0,0,1,21,3,0,0,0.0
60,Sometimes I can't express how truly grateful I am. Now.. Back to work. ,1,0,0,1,0,71,13,0,0,3.0
61,"Me, Italy -trying desperately to look like a Fellini film ",1,0,0,1,1,58,10,0,0,-1.0
62,Well I'm 27 now. I wanted to thank each and every one of you for your words on my bday. Not just the quick notes. The thought that goes behind every word you write usually ends up with me crying grateful tears like I did last night. Praying for all of you!! I LOVE YOU ,1,0,0,5,0,269,55,0,0,7.0
63,Kids in cages! Sleeping on concrete floors with aluminum blankets! No access to simple dignities! How is this still happening??? It's absolutely inhumane to treat anyone like this let alone children. I can't even imagine what they are going through. We need to get this to finally stop! Don't stay silent on this human rights issue- please call your reps 202.224.3121 ,1,0,0,2,1,368,61,0,0,-1.0
64,Living in my Cali Bolds for summer. ,1,0,0,0,0,36,7,0,0,0.0
65,When Olivia is a star and Paul wears your face on a shirt (btw if you haven't seen Olivia's movie Booksmart I don't understand you) ,1,0,0,0,0,132,25,0,0,0.0
66,All combo -biker jacket and butterfly parker bag ,1,0,0,0,0,49,8,0,0,0.0
67,"To see what is happening right now in Alabama, Georgia, Mississippi and several other states in our country is not only deeply upsetting but seems that it can't possibly be real in 2019. It's no one's business what a woman chooses to do with her body. End of story. If you want to help fight this, click on the link in my bio to find out how you can volunteer or make a donation. ",1,0,0,1,1,380,74,0,2,1.0
68,My first time in Cannes! I'm so honored to have been a part of this movie with Jim and the whole cast. By the way Bill Murray and I are getting married. ,1,0,0,1,0,153,32,0,0,2.0
69,Been working hard on a new collection with my fam. Launches today  ,1,0,0,0,1,67,12,0,0,-1.0
70,hi Cannes...you're very pretty ,1,0,0,1,0,31,4,0,0,1.0
71,I owe my life to you momma ,1,0,0,0,0,27,7,0,2,0.0
72,studio diva ,1,0,0,0,0,12,2,0,0,0.0
73,"Yesterday at the Empowerment in Entertainment event, I had the honor to meet some of the brightest students who might never have imagined a career in Hollywood as they were given the opportunity to go to college and work with mentors in the industry. Thank you to the most courageous, brave, intellectual, strong, beautiful spirit that is Oprah for caring so much about empowering all walks of life but more importantly for being the action and not just standing behind the word. You DO it. Thank you for continually inspiring us to be kinder, greater and stretching all the boundaries for the better. ""From everyone to whom much has been given, much will be required."" ",1,0,0,8,0,670,115,0,0,34.0
74,"I met Theresa 5 years ago. We worked together and became best friends. She has taught me how to see life in a fun, carefree and uplifting way. She has shown me how to be a strong and fearless woman. She is beautiful, kind and smart. I saw how capable she was of achieving her dreams. I wanted nothing more than to see her pursue them and soar. And here you are making it happen T. I love you and I am so proud of you. ",1,0,0,9,0,418,86,0,8,27.0
75,Coachella for the night with T ,1,0,0,0,0,31,6,0,0,0.0
76,Loving my new Dreamer bag. ,1,0,0,1,0,27,5,0,0,2.0
77,throw b ,1,0,0,0,0,8,2,0,0,0.0
78,New season. New Parker. Same Fam. ,1,0,0,0,0,34,6,0,0,0.0
79,I Can't Get Enough video is out now. Can't believe we pulled it off in one take- even if I did fall once or twice trying. ,1,0,0,1,1,122,26,0,0,0.0
80,familia ,1,0,0,0,0,8,1,0,0,0.0
81,I Can't Get Enough is out now! Link in bio ,1,0,0,1,0,43,10,0,0,0.0
82,Back on set with Always in my Cali. ,1,0,0,0,0,36,8,0,0,0.0
83,"My best friend is getting married, so we celebrated her! Future Mrs. Lopez ",1,0,0,2,0,75,13,0,0,7.0
84,My sweet soul sister. Julia you have been a huge part of my life. You have taught me how to have courage when I have self doubt. This song is extremely close to my heart as I've experienced anxiety and know a lot of my friends do too. You're never alone if you feel this way. The message is much needed and I really hope you guys like it! ,1,0,0,3,1,339,69,1,0,4.0
85,Lots to look forward to in 2019. I can't wait to share the projects I've been working on with you. The first one is here: Cali  BY ,1,0,0,0,0,131,27,0,0,1.0
86,"It's been awhile since you have heard from me, but I wanted to wish everyone a happy new year and to thank you for your love and support. Last year was definitely a year of self-reflection, challenges and growth. It's always those challenges which show you who you are and what you are capable of overcoming. Trust me, it's not easy, but I am proud of the person I am becoming and look forward to the year ahead. Love you all. ",1,0,0,7,0,427,81,0,0,21.0
87,"Mood lol (I was looking at myself in the mirror -like an idiot!) Update: taking a social media break. Again. As much as I am grateful for the voice that social media gives each of us, I am equally grateful to be able to step back and live my life present to the moment I have been given. Kindness and encouragement only for a bit! Just remember- negative comments can hurt anybody's feelings. Obvi. ",1,0,0,4,2,399,74,0,0,8.0
88, ,1,0,0,0,0,1,0,0,0,0.0
89,is my real life Barbie. She makes all my stuff look cooler sweater: and rocking cute ,1,0,0,1,0,85,16,0,2,2.0
90,"Alright. Speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me. The older I get the more I want my voice to be mine. This is all apart of my work within an industry that's been around longer than all of us have been. The purpose of my interview was three fold. My work with A21, my new collection with Coach, and some new music. As I'm aware there will always be interests in one's personal life because that's the pace of our 'social' generation. I'm grateful for my position and I will always find ways to make my job more about others and giving back-- all while having the best time with my music, fashion, film and my love for learning about the world that I'm eager to tap into more and more. Church is a name for something far more personal. There's always agenda seeking information on such a subject and I understand why. Rarely do I mention church (and I didn't) but I'll always feel comfortable talking about my values and beliefs. I respect that from everyone and anyone. I understand that reporters are working to grab the attention of a reader, however I will always work to ensure that what is public represents my truth. I'm a bit bummed but rarely surprised. Y'all know me and my heart. I can't help it. So I'll post some of MY photos from the collection and work with A21. My heart. And maybe edit my actual lyrics as you will all hear it soon  I love you guys to the moon and back. For more information on the work I do with A21 please, please visit link in my bio. So much more on that soon! ",1,0,0,13,1,1568,299,1,0,24.0
91,"Alright. Speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me. The older I get the more I want my voice to be mine. This is all apart of my work within an industry that's been around longer than all of us have been. The purpose of my interview was three fold. My work with A21, my new collection with Coach, and some new music. As I'm aware there will always be interests in one's personal life because that's the pace of our 'social' generation. I'm grateful for my position and I will always find ways to make my job more about others and giving back-- all while having the best time with my music, fashion, film and my love for learning about the world that I'm eager to tap into more and more. Church is a name for something far more personal. There's always agenda seeking information on such a subject and I understand why. Rarely do I mention church (and I didn't) , but I'll always feel comfortable talking about my values and beliefs. I respect that from everyone and anyone. I understand that reporters are working to grab the attention of a reader, however I will always work to ensure that what is public represents my truth. I'm a bit bummed but rarely surprised. Y'all know me and my heart. I can't help it. So I'll post some of MY photos from the collection and work with A21. My heart. And maybe edit my actual lyrics as you will all hear it soon  I love you guys to the moon and back. For more information on the work I do with A21 please, please visit link in my bio. So much more on that soon! ",1,0,0,13,1,1570,300,1,0,24.0
92,today was so fun ,1,0,0,1,0,17,4,0,0,4.0
